"id","nome","instituicao","pais"
"05-6T",Joan B. Garfield,,
"05-6U",Joan B. Garfield,,
"05-6V",Carl J. Huberty,,
"05-6W",Jane M. Watson,,
"05-6X",Flavia Jolliffe,,
"05-7A",Robin George Boyle,Deakin University,Austrália
"05-7B",Neville Davies,Nottingham Trent University,Reino Unido
"05-7B",Rob Lees,Nottingham Trent University,Reino Unido
"05-7B",Steve Smith,Nottingham Trent University,Reino Unido
"05-7B",Rosemarie O’Neill,Nottingham Trent University,Reino Unido
"05-7C",William Finzer,Key Curriculum Press,Estados Unidos
"05-7C",Timothy E. Erickson,Key Curriculum Press,Estados Unidos
"05-7D",Polyxeni-Jenny Pange,University of Ioannina,Grécia
"05-7E",Jacques Bordier,Télé-Université,Canadá
"05-7E",Anne Bergeron,Université du Québec à Montréal,Canadá
"05-7E",Marie-Chantal Beaulieu,Université du Québec à Montréal,Canadá
"05-7F",Lucette Carter,Universidade Paris Nanterre,França
"05-7F",Mathilde Mougeot,Universidade Paris Nanterre,França
"05-7G",Giuseppe Cicchitelli,Università di Perugia,Itália
"05-7G",Gianfranco Galmacci,Università di Perugia,Itália
"05-7H",Chris du Feu,Queen Elizabeth's High School,Reino Unido
"05-7H",Neville Hunt,Coventry University,Reino Unido
"05-7H",Rob Lees,The Database (Nottingham) Ltd.,Reino Unido
"05-7I",Helena Bacelar-Nicolau,University of Lisbon,Portugal
"05-7I",F. C. Nicolau,New University of Lisbon,Portugal
"05-7I",O. Dias,University of Lisbon,Portugal
"05-7I",Luis Ramos,New University of Lisbon,Portugal
"05-7J",Michelle McDougall,Deakin University,Austrália
"05-7J",Jamie Mustard,Deakin University,Austrália
"05-7J",Glenn Ridley,Deakin University,Austrália
"05-7K",Jirí Militký,Technical University,República Tcheca
"05-7K",Karel Kupta,Trilobyte Ltd. Pardubice,República Tcheca
"05-7K",Milan Meloun,Pardubice University,República Tcheca
"05-7L",Paul Alper,University of St. Thomas,Estados Unidos
"05-7L",Robert L. Raymond,University of St. Thomas,Estados Unidos
"05-7M",Timothy E. Erickson,Key Curriculum Press,Estados Unidos
"05-7M",William F. Finzer,Key Curriculum Press,Estados Unidos
"05-7N",Sue Finch,La Trobe University,Austrália
"05-7N",Geoff Cumming,La Trobe University,Austrália
